star	group	ID	ID_alt	star_alt1	star_alt2	origin	snr	R	Rmax	Teff	eTeff	logg	elogg	vmic	evmic	vmac	vsini	e_vsini	[Ca/H]	e[Ca/H]	[Co/H]	e[Co/H]	[Cr/H]	e[Cr/H]	[Fe/H]	e[Fe/H]	[Mg/H]	e[Mg/H]	[Mn/H]	e[Mn/H]	[Ni/H]	e[Ni/H]	[Sc/H]	e[Sc/H]	[Si/H]	e[Si/H]	[Ti/H]	e[Ti/H]	[V/H]	e[V/H]	[Ca 1/H]	e[Ca 1/H]	n[Ca 1/H]	[Co 1/H]	e[Co 1/H]	n[Co 1/H]	[Cr 1/H]	e[Cr 1/H]	n[Cr 1/H]	[Fe 1/H]	e[Fe 1/H]	n[Fe 1/H]	[Fe 2/H]	e[Fe 2/H]	n[Fe 2/H]	[Mg 1/H]	e[Mg 1/H]	n[Mg 1/H]	[Mn 1/H]	e[Mn 1/H]	n[Mn 1/H]	[Ni 1/H]	e[Ni 1/H]	n[Ni 1/H]	[Sc 2/H]	e[Sc 2/H]	n[Sc 2/H]	[Si 1/H]	e[Si 1/H]	n[Si 1/H]	[Ti 1/H]	e[Ti 1/H]	n[Ti 1/H]	[Ti 2/H]	e[Ti 2/H]	n[Ti 2/H]	[V 1/H]	e[V 1/H]	n[V 1/H]	n_spectra	flag
HIP65721	G Subgiant (IV)	HD117176_ESP_1	HIP65721_ESPADONS_1	HD117176	-	ESPADONS	500	42000	68000	5473	22	3.94	0.08	1.11	0.01	3.55	1.6	0.0	-0.07	0.029	-0.11	0.037	-0.125	0.017	-0.116	0.023	-0.06	0.018	-0.19	0.023	-0.138	0.017	-0.02	0.017	-0.067	0.021	-0.068	0.019	-0.117	0.023	-0.07	0.029	52	-0.11	0.037	28	-0.125	0.017	39	-0.12	0.022	292	-0.079	0.024	30	-0.06	0.018	3	-0.19	0.023	15	-0.138	0.017	54	-0.02	0.017	12	-0.067	0.021	18	-0.075	0.018	53	-0.036	0.021	12	-0.117	0.023	43	3	-
HIP65721	G Subgiant (IV)	HD117176_NAR_1	HIP65721_NARVAL_1	HD117176	-	NARVAL	1119	42000	68000	5473	22	3.94	0.08	1.11	0.01	3.55	1.6	0.0	-0.07	0.029	-0.11	0.037	-0.125	0.017	-0.116	0.023	-0.06	0.018	-0.19	0.023	-0.138	0.017	-0.02	0.017	-0.067	0.021	-0.068	0.019	-0.117	0.023	-0.07	0.029	52	-0.11	0.037	28	-0.125	0.017	39	-0.12	0.022	292	-0.079	0.024	30	-0.06	0.018	3	-0.19	0.023	15	-0.138	0.017	54	-0.02	0.017	12	-0.067	0.021	18	-0.075	0.018	53	-0.036	0.021	12	-0.117	0.023	43	3	-
HIP6592	K Giant (III)	HD8651_HAR_1	HIP6592_HARPS_1	HD8651	-	HARPS	192	42000	115000	4685	43	2.39	0.08	1.41	0.03	4.38	1.6	0.0	-0.243	0.048	-0.145	0.106	-0.29	0.035	-0.27	0.05	0.047	0.046	-0.382	0.061	-0.262	0.038	-0.235	0.075	-0.08	0.044	-0.159	0.035	-0.243	0.074	-0.243	0.048	32	-0.145	0.106	20	-0.29	0.035	22	-0.272	0.048	172	-0.255	0.069	17	0.047	0.046	2	-0.382	0.061	10	-0.262	0.038	28	-0.235	0.075	8	-0.08	0.044	9	-0.168	0.033	33	-0.125	0.047	8	-0.243	0.074	31	2	-
HIP6592	K Giant (III)	HD8651_UVE_1	HIP6592_UVES_1	HD8651	-	UVES	152	42000	107200	4685	43	2.39	0.08	1.41	0.03	4.38	1.6	0.0	-0.243	0.048	-0.145	0.106	-0.29	0.035	-0.27	0.05	0.047	0.046	-0.382	0.061	-0.262	0.038	-0.235	0.075	-0.08	0.044	-0.159	0.035	-0.243	0.074	-0.243	0.048	32	-0.145	0.106	20	-0.29	0.035	22	-0.272	0.048	172	-0.255	0.069	17	0.047	0.046	2	-0.382	0.061	10	-0.262	0.038	28	-0.235	0.075	8	-0.08	0.044	9	-0.168	0.033	33	-0.125	0.047	8	-0.243	0.074	31	2	-
HIP671	K Giant (III)	HD360_HAR_1	HIP671_HARPS_1	HD360	-	HARPS	171	42000	115000	4679	79	2.32	0.11	1.42	0.02	4.42	1.6	0.0	-0.247	0.043	-0.219	0.083	-0.308	0.038	-0.264	0.045	-0.105	0.042	-0.358	0.084	-0.281	0.033	-0.191	0.055	-0.066	0.057	-0.274	0.054	-0.339	0.076	-0.247	0.043	33	-0.219	0.083	20	-0.308	0.038	23	-0.271	0.045	180	-0.198	0.039	18	-0.105	0.042	2	-0.358	0.084	10	-0.281	0.033	34	-0.191	0.055	8	-0.066	0.057	12	-0.295	0.055	34	-0.187	0.051	8	-0.339	0.076	30	2	-
HIP671	K Giant (III)	HD360_HER_1	HIP671_HERMES_1	HD360	-	HERMES	214	42000	75000	4679	79	2.32	0.11	1.42	0.02	4.42	1.6	0.0	-0.247	0.043	-0.219	0.083	-0.308	0.038	-0.264	0.045	-0.105	0.042	-0.358	0.084	-0.281	0.033	-0.191	0.055	-0.066	0.057	-0.274	0.054	-0.339	0.076	-0.247	0.043	33	-0.219	0.083	20	-0.308	0.038	23	-0.271	0.045	180	-0.198	0.039	18	-0.105	0.042	2	-0.358	0.084	10	-0.281	0.033	34	-0.191	0.055	8	-0.066	0.057	12	-0.295	0.055	34	-0.187	0.051	8	-0.339	0.076	30	2	-
HIP67459	K Bright Giant (II)	HD120477_HER_1	HIP67459_HERMES_1	HD120477	-	HERMES	174	42000	75000	3950	20	1.3	0.05	0.96	0.02	4.92	1.6	0.0	-0.074	0.071	-0.26	0.111	-0.143	0.138	-0.232	0.156	-0.073	0.025	-0.204	0.061	-0.168	0.116	-0.297	0.098	0.002	0.306	0.041	0.096	0.223	0.284	-0.074	0.071	20	-0.26	0.111	18	-0.143	0.138	14	-0.226	0.146	147	-0.302	0.265	14	-0.073	0.025	2	-0.204	0.061	5	-0.168	0.116	26	-0.297	0.098	6	0.002	0.306	6	0.174	0.129	14	-0.191	0.038	8	0.223	0.284	18	2	-
HIP67459	K Bright Giant (II)	HD120477_NAR_1	HIP67459_NARVAL_1	HD120477	-	NARVAL	1428	42000	68000	3950	20	1.3	0.05	0.96	0.02	4.92	1.6	0.0	-0.074	0.071	-0.26	0.111	-0.143	0.138	-0.232	0.156	-0.073	0.025	-0.204	0.061	-0.168	0.116	-0.297	0.098	0.002	0.306	0.041	0.096	0.223	0.284	-0.074	0.071	20	-0.26	0.111	18	-0.143	0.138	14	-0.226	0.146	147	-0.302	0.265	14	-0.073	0.025	2	-0.204	0.061	5	-0.168	0.116	26	-0.297	0.098	6	0.002	0.306	6	0.174	0.129	14	-0.191	0.038	8	0.223	0.284	18	2	-
HIP67927	F Subgiant (IV)	HD121370_ESP_1	HIP67927_ESPADONS_1	HD121370	etaBoo	ESPADONS	500	42000	68000	6161	18	3.82	0.05	1.64	0.03	6.12	1.6	0.0	0.332	0.038	0.357	0.032	0.327	0.031	0.319	0.042	0.327	0.018	0.36	0.013	0.391	0.036	0.327	0.036	0.345	0.086	0.3	0.042	0.338	0.036	0.332	0.038	61	0.357	0.032	23	0.327	0.031	33	0.323	0.042	294	0.286	0.036	39	0.327	0.018	4	0.36	0.013	10	0.391	0.036	63	0.327	0.036	16	0.345	0.086	24	0.301	0.047	57	0.295	0.018	11	0.338	0.036	45	4	-
HIP67927	F Subgiant (IV)	HD121370_HAR_1	HIP67927_HARPS_1	HD121370	etaBoo	HARPS	1041	42000	115000	6161	18	3.82	0.05	1.64	0.03	6.12	1.6	0.0	0.332	0.038	0.357	0.032	0.327	0.031	0.319	0.042	0.327	0.018	0.36	0.013	0.391	0.036	0.327	0.036	0.345	0.086	0.3	0.042	0.338	0.036	0.332	0.038	61	0.357	0.032	23	0.327	0.031	33	0.323	0.042	294	0.286	0.036	39	0.327	0.018	4	0.36	0.013	10	0.391	0.036	63	0.327	0.036	16	0.345	0.086	24	0.301	0.047	57	0.295	0.018	11	0.338	0.036	45	4	-
HIP67927	F Subgiant (IV)	HD121370_NAR_1	HIP67927_NARVAL_1	HD121370	etaBoo	NARVAL	1073	42000	68000	6161	18	3.82	0.05	1.64	0.03	6.12	1.6	0.0	0.332	0.038	0.357	0.032	0.327	0.031	0.319	0.042	0.327	0.018	0.36	0.013	0.391	0.036	0.327	0.036	0.345	0.086	0.3	0.042	0.338	0.036	0.332	0.038	61	0.357	0.032	23	0.327	0.031	33	0.323	0.042	294	0.286	0.036	39	0.327	0.018	4	0.36	0.013	10	0.391	0.036	63	0.327	0.036	16	0.345	0.086	24	0.301	0.047	57	0.295	0.018	11	0.338	0.036	45	4	-
HIP68594	K Bright Giant (II)	HD122563_ESP_1	HIP68594_ESPADONS_1	HD122563	HD122563	ESPADONS	608	42000	68000	4642	35	1.32	0.03	1.85	0.06	6.42	1.6	0.0	-2.458	0.038	-2.536	0.026	-2.997	0.053	-2.657	0.049	-2.252	0.055	-3.039	0.014	-2.627	0.05	-2.577	0.029	-2.387	0.023	-2.504	0.029	-2.696	0.057	-2.458	0.038	60	-2.536	0.026	8	-2.997	0.053	18	-2.678	0.053	221	-2.517	0.026	33	-2.252	0.055	4	-3.039	0.014	10	-2.627	0.05	34	-2.577	0.029	16	-2.387	0.023	11	-2.549	0.032	50	-2.353	0.019	15	-2.696	0.057	18	4	-
HIP68594	K Bright Giant (II)	HD122563_HAR_1	HIP68594_HARPS_1	HD122563	HD122563	HARPS	318	42000	115000	4642	35	1.32	0.03	1.85	0.06	6.42	1.6	0.0	-2.458	0.038	-2.536	0.026	-2.997	0.053	-2.657	0.049	-2.252	0.055	-3.039	0.014	-2.627	0.05	-2.577	0.029	-2.387	0.023	-2.504	0.029	-2.696	0.057	-2.458	0.038	60	-2.536	0.026	8	-2.997	0.053	18	-2.678	0.053	221	-2.517	0.026	33	-2.252	0.055	4	-3.039	0.014	10	-2.627	0.05	34	-2.577	0.029	16	-2.387	0.023	11	-2.549	0.032	50	-2.353	0.019	15	-2.696	0.057	18	4	-
HIP68594	K Bright Giant (II)	HD122563_NAR_1	HIP68594_NARVAL_1	HD122563	HD122563	NARVAL	651	42000	68000	4642	35	1.32	0.03	1.85	0.06	6.42	1.6	0.0	-2.458	0.038	-2.536	0.026	-2.997	0.053	-2.657	0.049	-2.252	0.055	-3.039	0.014	-2.627	0.05	-2.577	0.029	-2.387	0.023	-2.504	0.029	-2.696	0.057	-2.458	0.038	60	-2.536	0.026	8	-2.997	0.053	18	-2.678	0.053	221	-2.517	0.026	33	-2.252	0.055	4	-3.039	0.014	10	-2.627	0.05	34	-2.577	0.029	16	-2.387	0.023	11	-2.549	0.032	50	-2.353	0.019	15	-2.696	0.057	18	4	-
HIP68594	K Bright Giant (II)	HD122563_UVE_1	HIP68594_UVES_1	HD122563	HD122563	UVES	148	42000	47632	4642	35	1.32	0.03	1.85	0.06	6.42	1.6	0.0	-2.458	0.038	-2.536	0.026	-2.997	0.053	-2.657	0.049	-2.252	0.055	-3.039	0.014	-2.627	0.05	-2.577	0.029	-2.387	0.023	-2.504	0.029	-2.696	0.057	-2.458	0.038	60	-2.536	0.026	8	-2.997	0.053	18	-2.678	0.053	221	-2.517	0.026	33	-2.252	0.055	4	-3.039	0.014	10	-2.627	0.05	34	-2.577	0.029	16	-2.387	0.023	11	-2.549	0.032	50	-2.353	0.019	15	-2.696	0.057	18	4	-
HIP69673	K Giant (III)	HD124897_ELO_1	HIP69673_ELODIE_1	HD124897	Arcturus	ELODIE	902	42000	45000	4277	23	1.58	0.07	1.43	0.01	5.12	1.6	0.0	-0.416	0.031	-0.386	0.047	-0.617	0.03	-0.547	0.042	-0.035	0.014	-0.72	0.013	-0.545	0.046	-0.314	0.091	-0.273	0.021	-0.256	0.055	-0.445	0.072	-0.416	0.031	65	-0.386	0.047	41	-0.617	0.03	45	-0.549	0.041	418	-0.52	0.054	38	-0.035	0.014	5	-0.72	0.013	19	-0.545	0.046	69	-0.314	0.091	20	-0.273	0.021	24	-0.229	0.07	53	-0.332	0.013	19	-0.445	0.072	57	5	-
HIP69673	K Giant (III)	HD124897_ESP_1	HIP69673_ESPADONS_1	HD124897	Arcturus	ESPADONS	500	42000	68000	4277	23	1.58	0.07	1.43	0.01	5.12	1.6	0.0	-0.416	0.031	-0.386	0.047	-0.617	0.03	-0.547	0.042	-0.035	0.014	-0.72	0.013	-0.545	0.046	-0.314	0.091	-0.273	0.021	-0.256	0.055	-0.445	0.072	-0.416	0.031	65	-0.386	0.047	41	-0.617	0.03	45	-0.549	0.041	418	-0.52	0.054	38	-0.035	0.014	5	-0.72	0.013	19	-0.545	0.046	69	-0.314	0.091	20	-0.273	0.021	24	-0.229	0.07	53	-0.332	0.013	19	-0.445	0.072	57	5	-
HIP69673	K Giant (III)	HD124897_HAR_1	HIP69673_HARPS_1	HD124897	Arcturus	HARPS	382	42000	115000	4277	23	1.58	0.07	1.43	0.01	5.12	1.6	0.0	-0.416	0.031	-0.386	0.047	-0.617	0.03	-0.547	0.042	-0.035	0.014	-0.72	0.013	-0.545	0.046	-0.314	0.091	-0.273	0.021	-0.256	0.055	-0.445	0.072	-0.416	0.031	65	-0.386	0.047	41	-0.617	0.03	45	-0.549	0.041	418	-0.52	0.054	38	-0.035	0.014	5	-0.72	0.013	19	-0.545	0.046	69	-0.314	0.091	20	-0.273	0.021	24	-0.229	0.07	53	-0.332	0.013	19	-0.445	0.072	57	5	-
HIP69673	K Giant (III)	HD124897_NAR_1	HIP69673_NARVAL_1	HD124897	Arcturus	NARVAL	1498	42000	68000	4277	23	1.58	0.07	1.43	0.01	5.12	1.6	0.0	-0.416	0.031	-0.386	0.047	-0.617	0.03	-0.547	0.042	-0.035	0.014	-0.72	0.013	-0.545	0.046	-0.314	0.091	-0.273	0.021	-0.256	0.055	-0.445	0.072	-0.416	0.031	65	-0.386	0.047	41	-0.617	0.03	45	-0.549	0.041	418	-0.52	0.054	38	-0.035	0.014	5	-0.72	0.013	19	-0.545	0.046	69	-0.314	0.091	20	-0.273	0.021	24	-0.229	0.07	53	-0.332	0.013	19	-0.445	0.072	57	5	-
HIP69673	K Giant (III)	HD124897_UVE_1	HIP69673_UVES_1	HD124897	Arcturus	UVES	1007	42000	74450	4277	23	1.58	0.07	1.43	0.01	5.12	1.6	0.0	-0.416	0.031	-0.386	0.047	-0.617	0.03	-0.547	0.042	-0.035	0.014	-0.72	0.013	-0.545	0.046	-0.314	0.091	-0.273	0.021	-0.256	0.055	-0.445	0.072	-0.416	0.031	65	-0.386	0.047	41	-0.617	0.03	45	-0.549	0.041	418	-0.52	0.054	38	-0.035	0.014	5	-0.72	0.013	19	-0.545	0.046	69	-0.314	0.091	20	-0.273	0.021	24	-0.229	0.07	53	-0.332	0.013	19	-0.445	0.072	57	5	-
HIP70497	F Dwarf (V)	HD126660_NAR_1	HIP70497_NARVAL_1	HD126660	-	NARVAL	246	42000	68000	6292	20	4.06	0.02	1.7	0.08	7.39	1.6	0.0	0.068	0.06	-0.148	0.126	-0.033	0.07	-0.036	0.065	-0.096	0.099	-0.049	0.027	0.024	0.109	-0.036	0.039	0.025	0.02	-0.065	0.078	0.01	0.117	0.068	0.06	23	-0.148	0.126	8	-0.033	0.07	11	-0.034	0.067	119	-0.062	0.049	12	-0.096	0.099	1	-0.049	0.027	10	0.024	0.109	18	-0.036	0.039	8	0.025	0.02	8	-0.066	0.091	16	-0.063	0.027	4	0.01	0.117	10	2	-
HIP70791	K Giant (III)	HD127243_HER_1	HIP70791_HERMES_1	HD127243	-	HERMES	252	42000	75000	5015	23	2.5	0.02	1.4	0.03	4.7	1.6	0.0	-0.408	0.055	-0.476	0.059	-0.673	0.054	-0.608	0.042	-0.142	0.043	-0.878	0.02	-0.623	0.037	-0.366	0.017	-0.374	0.018	-0.327	0.046	-0.533	0.03	-0.408	0.055	36	-0.476	0.059	19	-0.673	0.054	22	-0.61	0.042	188	-0.584	0.041	19	-0.142	0.043	2	-0.878	0.02	8	-0.623	0.037	32	-0.366	0.017	8	-0.374	0.018	10	-0.342	0.052	36	-0.261	0.018	8	-0.533	0.03	29	2	-
HIP7083	K Giant (III)	HD9362_HAR_1	HIP7083_HARPS_1	HD9362	-	HARPS	427	42000	115000	4750	28	2.4	0.05	1.45	0.02	4.51	1.6	0.0	-0.377	0.042	-0.328	0.067	-0.454	0.027	-0.396	0.043	-0.177	0.035	-0.503	0.068	-0.39	0.031	-0.267	0.046	-0.208	0.047	-0.363	0.033	-0.438	0.05	-0.377	0.042	34	-0.328	0.067	19	-0.454	0.027	23	-0.405	0.043	180	-0.31	0.045	19	-0.177	0.035	2	-0.503	0.068	10	-0.39	0.031	34	-0.267	0.046	8	-0.208	0.047	10	-0.388	0.033	33	-0.246	0.03	7	-0.438	0.05	29	2	-
HIP7083	K Giant (III)	HD9362_UVE_1	HIP7083_UVES_1	HD9362	-	UVES	162	42000	107200	4750	28	2.4	0.05	1.45	0.02	4.51	1.6	0.0	-0.377	0.042	-0.328	0.067	-0.454	0.027	-0.396	0.043	-0.177	0.035	-0.503	0.068	-0.39	0.031	-0.267	0.046	-0.208	0.047	-0.363	0.033	-0.438	0.05	-0.377	0.042	34	-0.328	0.067	19	-0.454	0.027	23	-0.405	0.043	180	-0.31	0.045	19	-0.177	0.035	2	-0.503	0.068	10	-0.39	0.031	34	-0.267	0.046	8	-0.208	0.047	10	-0.388	0.033	33	-0.246	0.03	7	-0.438	0.05	29	2	-
HIP71053	K Giant (III)	HD127665_NAR_1	HIP71053_NARVAL_1	HD127665	-	NARVAL	1422	42000	68000	4181	56	1.8	0.05	1.36	0.02	4.52	1.6	0.0	-0.249	0.053	-0.148	0.069	-0.261	0.049	-0.166	0.078	0.028	0.023	-0.215	0.037	-0.186	0.087	-0.196	0.087	0.056	0.101	-0.184	0.075	-0.313	0.136	-0.249	0.053	21	-0.148	0.069	16	-0.261	0.049	17	-0.18	0.078	150	-0.028	0.081	16	0.028	0.023	2	-0.215	0.037	4	-0.186	0.087	30	-0.196	0.087	7	0.056	0.101	8	-0.188	0.092	18	-0.176	0.038	8	-0.313	0.136	21	2	-
HIP71681	G Dwarf (V)	HD128621_HAR_1	HIP71681_HARPS_1	HD128621	alfCenB	HARPS	469	42000	115000	5207	12	4.53	0.01	0.96	0.02	2.8	1.6	0.0	0.222	0.052	0.279	0.083	0.258	0.041	0.213	0.061	0.231	0.035	0.306	0.051	0.238	0.036	0.229	0.104	0.266	0.076	0.262	0.073	0.333	0.106	0.222	0.052	13	0.279	0.083	9	0.258	0.041	10	0.214	0.054	84	0.203	0.126	9	0.231	0.035	1	0.306	0.051	5	0.238	0.036	17	0.229	0.104	4	0.266	0.076	5	0.268	0.068	17	0.228	0.099	3	0.333	0.106	15	1	-
HIP71683	G Dwarf (V)	HD128620_HAR_1	HIP71683_HARPS_1	HD128620	alfCenA	HARPS	668	42000	115000	5804	13	4.29	0.01	1.2	0.02	4.09	1.6	0.0	0.191	0.034	0.272	0.05	0.224	0.041	0.218	0.034	0.181	0.023	0.268	0.029	0.25	0.026	0.286	0.027	0.258	0.035	0.227	0.026	0.25	0.046	0.191	0.034	35	0.272	0.05	18	0.224	0.041	23	0.218	0.036	185	0.223	0.017	19	0.181	0.023	2	0.268	0.029	10	0.25	0.026	34	0.286	0.027	8	0.258	0.035	8	0.225	0.029	37	0.234	0.011	7	0.25	0.046	30	2	-
HIP71683	G Dwarf (V)	HD128620_UVE_1	HIP71683_UVES_1	HD128620	alfCenA	UVES	316	42000	45000	5804	13	4.29	0.01	1.2	0.02	4.09	1.6	0.0	0.191	0.034	0.272	0.05	0.224	0.041	0.218	0.034	0.181	0.023	0.268	0.029	0.25	0.026	0.286	0.027	0.258	0.035	0.227	0.026	0.25	0.046	0.191	0.034	35	0.272	0.05	18	0.224	0.041	23	0.218	0.036	185	0.223	0.017	19	0.181	0.023	2	0.268	0.029	10	0.25	0.026	34	0.286	0.027	8	0.258	0.035	8	0.225	0.029	37	0.234	0.011	7	0.25	0.046	30	2	-
HIP72567	G Dwarf (V)	HD130948_HER_1	HIP72567_HERMES_1	HD130948	-	HERMES	177	42000	75000	5812	57	4.33	0.03	1.19	0.05	4.49	1.6	0.0	-0.083	0.028	-0.264	0.042	-0.147	0.038	-0.114	0.035	-0.151	0.046	-0.225	0.06	-0.202	0.029	-0.158	0.017	-0.092	0.034	-0.183	0.035	-0.231	0.047	-0.083	0.028	35	-0.264	0.042	14	-0.147	0.038	23	-0.124	0.035	186	-0.015	0.033	18	-0.151	0.046	2	-0.225	0.06	6	-0.202	0.029	31	-0.158	0.017	8	-0.092	0.034	12	-0.202	0.039	36	-0.099	0.018	8	-0.231	0.047	27	2	-
HIP7294	K Giant (III)	HD9408_HER_1	HIP7294_HERMES_1	HD9408	-	HERMES	296	42000	75000	4774	131	2.35	0.11	1.4	0.02	4.5	1.6	0.0	-0.291	0.045	-0.259	0.071	-0.365	0.03	-0.343	0.039	-0.092	0.036	-0.439	0.059	-0.35	0.037	-0.255	0.043	-0.188	0.042	-0.267	0.033	-0.324	0.063	-0.291	0.045	33	-0.259	0.071	18	-0.365	0.03	25	-0.344	0.039	188	-0.334	0.044	20	-0.092	0.036	2	-0.439	0.059	10	-0.35	0.037	36	-0.255	0.043	8	-0.188	0.042	11	-0.27	0.036	35	-0.258	0.019	8	-0.324	0.063	28	2	-
HIP73184	K Dwarf (V)	HD131977_FER_1	HIP73184_FEROS_1	HD131977	-	FEROS	556	42000	48000	4657	70	4.6	0.02	0.72	0.05	3.69	1.6	0.0	0.048	0.044	0.042	0.056	0.073	0.074	0.034	0.109	-0.043	0.019	0.039	0.029	0.022	0.05	-0.037	0.109	0.013	0.058	0.054	0.077	0.156	0.089	0.048	0.044	16	0.042	0.056	28	0.073	0.074	24	0.01	0.079	218	0.302	0.435	20	-0.043	0.019	3	0.039	0.029	14	0.022	0.05	43	-0.037	0.109	12	0.013	0.058	14	0.086	0.089	35	-0.047	0.038	11	0.156	0.089	43	3	-
HIP73184	K Dwarf (V)	HD131977_HAR_1	HIP73184_HARPS_1	HD131977	-	HARPS	999	42000	115000	4657	70	4.6	0.02	0.72	0.05	3.69	1.6	0.0	0.048	0.044	0.042	0.056	0.073	0.074	0.034	0.109	-0.043	0.019	0.039	0.029	0.022	0.05	-0.037	0.109	0.013	0.058	0.054	0.077	0.156	0.089	0.048	0.044	16	0.042	0.056	28	0.073	0.074	24	0.01	0.079	218	0.302	0.435	20	-0.043	0.019	3	0.039	0.029	14	0.022	0.05	43	-0.037	0.109	12	0.013	0.058	14	0.086	0.089	35	-0.047	0.038	11	0.156	0.089	43	3	-
HIP73184	K Dwarf (V)	HD131977_UVE_1	HIP73184_UVES_1	HD131977	-	UVES	101	42000	66320	4657	70	4.6	0.02	0.72	0.05	3.69	1.6	0.0	0.048	0.044	0.042	0.056	0.073	0.074	0.034	0.109	-0.043	0.019	0.039	0.029	0.022	0.05	-0.037	0.109	0.013	0.058	0.054	0.077	0.156	0.089	0.048	0.044	16	0.042	0.056	28	0.073	0.074	24	0.01	0.079	218	0.302	0.435	20	-0.043	0.019	3	0.039	0.029	14	0.022	0.05	43	-0.037	0.109	12	0.013	0.058	14	0.086	0.089	35	-0.047	0.038	11	0.156	0.089	43	3	-
HIP73568	K Bright Giant (II)	HD133124_FIE_1	HIP73568_FIES_1	HD133124	-	FIES	450	42000	65000	3994	56	1.37	0.06	1.1	0.02	4.75	1.6	0.0	-0.032	0.082	-0.182	0.115	-0.09	0.108	-0.109	0.148	-0.01	0.032	-0.064	0.031	-0.133	0.091	-0.259	0.092	0.02	0.187	0.012	0.063	0.103	0.238	-0.032	0.082	17	-0.182	0.115	15	-0.09	0.108	14	-0.104	0.143	141	-0.167	0.201	14	-0.01	0.032	2	-0.064	0.031	2	-0.133	0.091	26	-0.259	0.092	6	0.02	0.187	7	0.124	0.074	11	-0.142	0.049	8	0.103	0.238	15	2	-
HIP73568	K Bright Giant (II)	HD133124_HER_1	HIP73568_HERMES_1	HD133124	-	HERMES	254	42000	75000	3994	56	1.37	0.06	1.1	0.02	4.75	1.6	0.0	-0.032	0.082	-0.182	0.115	-0.09	0.108	-0.109	0.148	-0.01	0.032	-0.064	0.031	-0.133	0.091	-0.259	0.092	0.02	0.187	0.012	0.063	0.103	0.238	-0.032	0.082	17	-0.182	0.115	15	-0.09	0.108	14	-0.104	0.143	141	-0.167	0.201	14	-0.01	0.032	2	-0.064	0.031	2	-0.133	0.091	26	-0.259	0.092	6	0.02	0.187	7	0.124	0.074	11	-0.142	0.049	8	0.103	0.238	15	2	-
HIP74666	K Giant (III)	HD135722_NAR_1	HIP74666_NARVAL_1	HD135722	-	NARVAL	1278	42000	68000	4810	30	2.38	0.09	1.38	0.02	4.54	1.6	0.0	-0.308	0.041	-0.334	0.066	-0.427	0.025	-0.396	0.037	-0.176	0.025	-0.507	0.063	-0.412	0.037	-0.248	0.037	-0.241	0.026	-0.326	0.035	-0.386	0.052	-0.308	0.041	35	-0.334	0.066	18	-0.427	0.025	26	-0.398	0.036	188	-0.373	0.044	20	-0.176	0.025	2	-0.507	0.063	10	-0.412	0.037	35	-0.248	0.037	8	-0.241	0.026	10	-0.335	0.037	38	-0.286	0.028	8	-0.386	0.052	30	2	-
HIP74793	K Giant (III)	HD136726_ESP_1	HIP74793_ESPADONS_1	HD136726	-	ESPADONS	1004	42000	68000	4253	25	1.78	0.04	1.3	0.02	4.48	1.6	0.0	-0.018	0.055	-0.07	0.093	-0.073	0.047	-0.083	0.094	0.038	0.024	-0.019	0.014	-0.082	0.071	-0.108	0.082	0.069	0.137	0.044	0.065	0.032	0.159	-0.018	0.055	20	-0.07	0.093	16	-0.073	0.047	14	-0.077	0.093	152	-0.146	0.109	15	0.038	0.024	2	-0.019	0.014	4	-0.082	0.071	27	-0.108	0.082	6	0.069	0.137	10	0.094	0.075	18	-0.069	0.044	8	0.032	0.159	22	2	-
HIP74793	K Giant (III)	HD136726_NAR_1	HIP74793_NARVAL_1	HD136726	-	NARVAL	320	42000	68000	4253	25	1.78	0.04	1.3	0.02	4.48	1.6	0.0	-0.018	0.055	-0.07	0.093	-0.073	0.047	-0.083	0.094	0.038	0.024	-0.019	0.014	-0.082	0.071	-0.108	0.082	0.069	0.137	0.044	0.065	0.032	0.159	-0.018	0.055	20	-0.07	0.093	16	-0.073	0.047	14	-0.077	0.093	152	-0.146	0.109	15	0.038	0.024	2	-0.019	0.014	4	-0.082	0.071	27	-0.108	0.082	6	0.069	0.137	10	0.094	0.075	18	-0.069	0.044	8	0.032	0.159	22	2	-
HIP74975	G Subgiant (IV)	HD136202_NAR_1	HIP74975_NARVAL_1	HD136202	-	NARVAL	1117	42000	68000	5820	99	3.87	0.04	1.35	0.03	4.72	1.6	0.0	-0.112	0.028	-0.285	0.041	-0.245	0.033	-0.162	0.031	-0.136	0.021	-0.299	0.071	-0.23	0.03	0.02	0.02	-0.064	0.039	-0.207	0.04	-0.348	0.044	-0.112	0.028	51	-0.285	0.041	28	-0.245	0.033	33	-0.188	0.032	273	0.069	0.024	30	-0.136	0.021	3	-0.299	0.071	10	-0.23	0.03	50	0.02	0.02	12	-0.064	0.039	15	-0.259	0.044	51	0.015	0.025	12	-0.348	0.044	40	3	-
