star	group	ID	ID_alt	star_alt1	star_alt2	origin	snr	R	Rmax	Teff	eTeff	logg	elogg	vmic	evmic	vmac	vsini	e_vsini	[Ca/H]	e[Ca/H]	[Co/H]	e[Co/H]	[Cr/H]	e[Cr/H]	[Fe/H]	e[Fe/H]	[Mg/H]	e[Mg/H]	[Mn/H]	e[Mn/H]	[Ni/H]	e[Ni/H]	[Sc/H]	e[Sc/H]	[Si/H]	e[Si/H]	[Ti/H]	e[Ti/H]	[V/H]	e[V/H]	[Ca 1/H]	e[Ca 1/H]	n[Ca 1/H]	[Co 1/H]	e[Co 1/H]	n[Co 1/H]	[Cr 1/H]	e[Cr 1/H]	n[Cr 1/H]	[Fe 1/H]	e[Fe 1/H]	n[Fe 1/H]	[Fe 2/H]	e[Fe 2/H]	n[Fe 2/H]	[Mg 1/H]	e[Mg 1/H]	n[Mg 1/H]	[Mn 1/H]	e[Mn 1/H]	n[Mn 1/H]	[Ni 1/H]	e[Ni 1/H]	n[Ni 1/H]	[Sc 2/H]	e[Sc 2/H]	n[Sc 2/H]	[Si 1/H]	e[Si 1/H]	n[Si 1/H]	[Ti 1/H]	e[Ti 1/H]	n[Ti 1/H]	[Ti 2/H]	e[Ti 2/H]	n[Ti 2/H]	[V 1/H]	e[V 1/H]	n[V 1/H]	n_spectra	flag
HIP40693	G Dwarf (V)	HD69830_ESP_1	HIP40693_ESPADONS_1	HD69830	-	ESPADONS	1308	42000	68000	5317	58	4.45	0.03	0.86	0.02	3.18	1.6	0.0	-0.072	0.029	-0.077	0.031	-0.09	0.014	-0.085	0.022	-0.062	0.014	-0.115	0.03	-0.078	0.018	-0.034	0.023	-0.018	0.021	-0.07	0.026	-0.094	0.025	-0.072	0.029	61	-0.077	0.031	37	-0.09	0.014	49	-0.093	0.022	361	-0.015	0.029	39	-0.062	0.014	4	-0.115	0.03	20	-0.078	0.018	67	-0.034	0.023	16	-0.018	0.021	22	-0.076	0.026	70	-0.043	0.025	15	-0.094	0.025	59	4	-
HIP40693	G Dwarf (V)	HD69830_FER_1	HIP40693_FEROS_1	HD69830	-	FEROS	697	42000	48000	5317	58	4.45	0.03	0.86	0.02	3.18	1.6	0.0	-0.072	0.029	-0.077	0.031	-0.09	0.014	-0.085	0.022	-0.062	0.014	-0.115	0.03	-0.078	0.018	-0.034	0.023	-0.018	0.021	-0.07	0.026	-0.094	0.025	-0.072	0.029	61	-0.077	0.031	37	-0.09	0.014	49	-0.093	0.022	361	-0.015	0.029	39	-0.062	0.014	4	-0.115	0.03	20	-0.078	0.018	67	-0.034	0.023	16	-0.018	0.021	22	-0.076	0.026	70	-0.043	0.025	15	-0.094	0.025	59	4	-
HIP40693	G Dwarf (V)	HD69830_HAR_1	HIP40693_HARPS_1	HD69830	-	HARPS	1000	42000	115000	5317	58	4.45	0.03	0.86	0.02	3.18	1.6	0.0	-0.072	0.029	-0.077	0.031	-0.09	0.014	-0.085	0.022	-0.062	0.014	-0.115	0.03	-0.078	0.018	-0.034	0.023	-0.018	0.021	-0.07	0.026	-0.094	0.025	-0.072	0.029	61	-0.077	0.031	37	-0.09	0.014	49	-0.093	0.022	361	-0.015	0.029	39	-0.062	0.014	4	-0.115	0.03	20	-0.078	0.018	67	-0.034	0.023	16	-0.018	0.021	22	-0.076	0.026	70	-0.043	0.025	15	-0.094	0.025	59	4	-
HIP40693	G Dwarf (V)	HD69830_UVE_1	HIP40693_UVES_1	HD69830	-	UVES	621	42000	107200	5317	58	4.45	0.03	0.86	0.02	3.18	1.6	0.0	-0.072	0.029	-0.077	0.031	-0.09	0.014	-0.085	0.022	-0.062	0.014	-0.115	0.03	-0.078	0.018	-0.034	0.023	-0.018	0.021	-0.07	0.026	-0.094	0.025	-0.072	0.029	61	-0.077	0.031	37	-0.09	0.014	49	-0.093	0.022	361	-0.015	0.029	39	-0.062	0.014	4	-0.115	0.03	20	-0.078	0.018	67	-0.034	0.023	16	-0.018	0.021	22	-0.076	0.026	70	-0.043	0.025	15	-0.094	0.025	59	4	-
HIP40843	F Dwarf (V)	HD69897_HER_1	HIP40843_HERMES_1	HD69897	-	HERMES	325	42000	75000	6203	57	4.17	0.02	1.42	0.03	6.97	1.6	0.0	-0.245	0.04	-0.335	0.058	-0.372	0.036	-0.306	0.032	-0.236	0.028	-0.416	0.033	-0.373	0.031	-0.285	0.024	-0.269	0.041	-0.287	0.025	-0.345	0.057	-0.245	0.04	34	-0.335	0.058	16	-0.372	0.036	24	-0.313	0.032	188	-0.247	0.024	20	-0.236	0.028	2	-0.416	0.033	7	-0.373	0.031	33	-0.285	0.024	8	-0.269	0.041	11	-0.299	0.028	33	-0.238	0.013	8	-0.345	0.057	23	2	-
HIP4151	F Dwarf (V)	HD5015_NAR_1	HIP4151_NARVAL_1	HD5015	-	NARVAL	306	42000	68000	6033	37	4.03	0.03	1.4	0.02	5.57	1.6	0.0	0.071	0.036	-0.048	0.042	-0.025	0.022	0.013	0.029	0.004	0.03	-0.064	0.038	-0.023	0.02	0.033	0.013	0.03	0.031	-0.008	0.027	-0.036	0.045	0.071	0.036	35	-0.048	0.042	16	-0.025	0.022	22	0.008	0.029	188	0.053	0.029	20	0.004	0.03	2	-0.064	0.038	6	-0.023	0.02	31	0.033	0.013	8	0.03	0.031	10	-0.017	0.029	33	0.03	0.02	8	-0.036	0.045	28	2	-
HIP4257	K Giant (III)	HD5268_HER_1	HIP4257_HERMES_1	HD5268	-	HERMES	98	42000	75000	4944	116	2.36	0.18	1.42	0.03	4.68	1.6	0.0	-0.403	0.047	-0.421	0.062	-0.55	0.035	-0.491	0.034	-0.251	0.044	-0.65	0.026	-0.539	0.036	-0.361	0.017	-0.401	0.025	-0.388	0.031	-0.473	0.033	-0.403	0.047	34	-0.421	0.062	20	-0.55	0.035	25	-0.49	0.034	190	-0.498	0.037	20	-0.251	0.044	2	-0.65	0.026	10	-0.539	0.036	35	-0.361	0.017	8	-0.401	0.025	11	-0.396	0.036	36	-0.351	0.007	8	-0.473	0.033	34	2	-
HIP43587	K Dwarf (V)	HD75732_ESP_1	HIP43587_ESPADONS_1	HD75732	-	ESPADONS	500	42000	68000	5169	44	4.41	0.02	0.91	0.02	2.73	1.6	0.0	0.245	0.027	0.355	0.038	0.274	0.015	0.277	0.032	0.278	0.013	0.338	0.041	0.362	0.014	0.335	0.054	0.434	0.04	0.265	0.041	0.297	0.044	0.245	0.027	60	0.355	0.038	47	0.274	0.015	60	0.269	0.031	427	0.347	0.036	48	0.278	0.013	5	0.338	0.041	25	0.362	0.014	84	0.335	0.054	20	0.434	0.04	28	0.25	0.04	78	0.33	0.049	19	0.297	0.044	71	5	-
HIP43587	K Dwarf (V)	HD75732_HAR_1	HIP43587_HARPS_1	HD75732	-	HARPS	986	42000	115000	5169	44	4.41	0.02	0.91	0.02	2.73	1.6	0.0	0.245	0.027	0.355	0.038	0.274	0.015	0.277	0.032	0.278	0.013	0.338	0.041	0.362	0.014	0.335	0.054	0.434	0.04	0.265	0.041	0.297	0.044	0.245	0.027	60	0.355	0.038	47	0.274	0.015	60	0.269	0.031	427	0.347	0.036	48	0.278	0.013	5	0.338	0.041	25	0.362	0.014	84	0.335	0.054	20	0.434	0.04	28	0.25	0.04	78	0.33	0.049	19	0.297	0.044	71	5	-
HIP43587	K Dwarf (V)	HD75732_NAR_1	HIP43587_NARVAL_1	HD75732	-	NARVAL	1177	42000	68000	5169	44	4.41	0.02	0.91	0.02	2.73	1.6	0.0	0.245	0.027	0.355	0.038	0.274	0.015	0.277	0.032	0.278	0.013	0.338	0.041	0.362	0.014	0.335	0.054	0.434	0.04	0.265	0.041	0.297	0.044	0.245	0.027	60	0.355	0.038	47	0.274	0.015	60	0.269	0.031	427	0.347	0.036	48	0.278	0.013	5	0.338	0.041	25	0.362	0.014	84	0.335	0.054	20	0.434	0.04	28	0.25	0.04	78	0.33	0.049	19	0.297	0.044	71	5	-
