recno,HIP,HD,Name,GaiaDR3,RA_ICRS,DE_ICRS,ThetaLD,e_ThetaLD,Indirect,r_ThetaLD,GBSV1,GBSV2,Plx,e_Plx,o_Plx,Av,FbolAv0,e_FbolAv0,Fbol,e_Fbol,Teff,e_Teff,reTeff,Lum,e_Lum,Rad,e_Rad,MassB,e_MassB,MassS,e_MassS,logg,e_logg,[Fe/H],e_[Fe/H],Dnu,e_Dnu,r_Dnu,numax,e_numax,r_numax,loggSeis,e_loggSeis,RadSeis,e_RadSeis,MassSeis,e_MassSeis
1,"HIP101345","HD195564"," ",6904703228801028864,308.0987,-9.8534,0.712,0.03,,"2013ApJ...771...40B",,,40.42,0.05,G,0.013,15.7,0.097,15.607,0.086,5514,116,2.1,2.986,0.018,1.894,0.08,1.107,0.01,1.236,0.216,3.95,0.09,0.05,0.02,,,"                   ",,,"                   ",,,,,,
2,"HIP10234 ","HD13468 ","*  63 Cet",2494336311948357504,32.8993,-1.8254,0.886,0.01,,"2018A&A...616A..68G",,,8.62,0.04,G,0.024,12.449,0.773,12.499,0.802,4676,80,1.7,52.579,3.407,11.051,0.135,1.155,0.182,0.926,0.117,2.37,0.09,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
3,"HIP102422","HD198149","* eta Cep",2195115561168483712,311.3224,61.8388,2.882,0.088,,"2016ApJS..227....4H",,,69.6,0.13,G,0.008,141.294,0.732,140.897,0.737,4751,73,1.5,9.091,0.058,4.452,0.136,0.982,0.04,1.06,0.068,3.15,0.05,-0.13,0.02,17.23,0.05,"2021ApJ...922...18O",228.0,2.0,"2021ApJ...922...18O",3.25,0.02,4.033,0.04,1.435,0.132
4,"HIP103598","HD200205"," ",2190891581091291520,314.8558,59.4386,2.032,0.043,,"2010ApJ...710.1365B",,,4.8,0.05,G,0.067,36.033,0.568,36.344,0.523,4032,45,1.1,493.052,12.486,45.515,1.074,0.932,0.098,1.574,0.088,1.2,0.06,-0.36,0.03,,,"                   ",,,"                   ",,,,,,
5,"HIP104214","HD201091","*  61 Cyg A",1872046609345556480,316.7247,38.7494,1.775,0.013,,"2008A&A...488..667K",1,1,285.99,0.06,G,0.0,39.248,1.025,39.236,1.058,4398,34,0.8,0.15,0.004,0.667,0.005,0.695,0.007,0.679,0.009,4.63,0.01,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
6,"HIP104217","HD201092","*  61 Cyg B",1872046574983497216,316.7303,38.742,1.581,0.022,,"2008A&A...488..667K",1,1,286.01,0.03,G,0.0,25.154,0.891,25.256,0.907,4174,47,1.1,0.097,0.003,0.594,0.008,0.613,0.011,0.617,0.009,4.68,0.02,-0.21,0.07,,,"                   ",,,"                   ",,,,,,
7,"HIP104659","HD201891"," ",1787990525934491776,317.996,17.7277,0.273,0.004,1,"2016A&A...592A..70H",,1,29.91,0.02,G,0.023,3.3,0.002,3.303,0.002,6040,44,0.7,1.154,0.002,0.981,0.014,0.762,0.003,0.779,0.006,4.34,0.02,-1.02,0.01,,,"                   ",,,"                   ",,,,,,
8,"HIP106039","HD204381","*  b Cap",6828451375858909568,322.1808,-21.8072,1.524,0.017,,"2018A&A...616A..68G",,,17.47,0.18,G,0.018,51.636,0.46,51.455,0.499,5079,31,0.6,52.697,1.2,9.379,0.142,2.157,0.139,2.508,0.079,2.86,0.04,-0.11,0.05,,,"                   ",,,"                   ",,,,,,
9,"HIP108535","HD209369","*  16 Cep",2278918344568877056,329.8124,73.1799,0.621,0.017,,"2016A&A...586A..94L",,,27.23,0.07,G,0.022,26.588,0.159,26.722,0.147,6754,93,1.4,11.264,0.085,2.452,0.067,1.543,0.061,1.503,0.11,3.84,0.05,-0.24,0.1,,,"                   ",,,"                   ",,,,,,
10,"HIP108870","HD209100","* eps Ind",6412595290592307840,330.8402,-56.786,1.817,0.013,,"2020MNRAS.493.2377R",,,274.84,0.1,G,0.0,52.977,1.292,52.557,1.388,4676,35,0.7,0.217,0.006,0.711,0.005,0.722,0.007,0.726,0.012,4.59,0.01,-0.13,0.03,,,"                   ",,,"                   ",,,,,,
11,"HIP109176","HD210027","* iot Peg",1891598193816300544,331.7528,25.3451,1.206,0.053,,"2009ApJ...694.1085V",,,84.01,0.2,G,0.007,82.586,0.313,82.209,0.332,6419,141,2.2,3.641,0.023,1.543,0.068,1.243,0.03,1.218,0.032,4.15,0.06,-0.11,0.02,,,"                   ",,,"                   ",,,,,,
12,"HIP109937","HD211388","*   1 Lac",1907131544341497600,333.9924,37.7487,3.371,0.049,,"2018AJ....155...30B",,,4.81,0.13,G,0.132,123.04,3.247,124.423,3.205,4258,41,1.0,1680.929,100.653,75.351,2.312,4.562,0.249,5.668,0.178,1.39,0.05,-0.05,0.07,,,"                   ",,,"                   ",,,,,,
13,"HIP11095 ","HD15248 "," ",4643560452496180992,35.718,-73.6458,0.949,0.019,,"2018A&A...616A..68G",,,9.21,0.02,G,0.032,14.973,0.239,14.899,0.271,4721,52,1.1,54.901,1.025,11.078,0.223,1.327,0.148,2.237,0.134,2.59,0.06,0.06,0.05,,,"                   ",,,"                   ",,,,,,
14,"HIP111944","HD214868","*  11 Lac",1982252790090609152,340.1286,44.2763,2.731,0.02,,"2010ApJ...710.1365B",,,9.32,0.11,G,0.045,77.614,1.974,77.516,2.267,4203,34,0.8,278.93,10.483,31.505,0.438,1.077,0.114,1.62,0.138,1.56,0.06,-0.2,0.02,,,"                   ",,,"                   ",,,,,,
15,"HIP112440","HD215665","* lam Peg",1876331990259358976,341.6328,23.5657,2.26,0.1,,"1999AJ....118.3032N",,,8.6,0.32,G,0.055,94.084,1.18,93.948,1.344,4848,109,2.2,397.037,30.088,28.254,1.633,3.783,0.154,3.944,0.152,2.12,0.08,-0.07,0.06,,,"                   ",,,"                   ",,,,,,
16,"HIP112447","HD215648","* ksi Peg",2719475542667772416,341.6733,12.1729,1.091,0.008,,"2012ApJ...746..101B",,,60.92,0.17,G,0.009,59.529,0.136,59.431,0.155,6223,23,0.4,5.005,0.031,1.925,0.015,1.172,0.008,1.233,0.121,3.95,0.04,-0.27,0.02,,,"                   ",,,"                   ",,,,,,
17,"HIP112731","HD216174"," ",2003961238426647680,342.443,55.9028,1.598,0.012,,"2016AJ....152...66B",,,8.29,0.07,G,0.052,29.03,0.842,28.986,0.863,4297,36,0.8,131.833,4.511,20.725,0.234,0.87,0.015,0.902,0.053,1.75,0.03,-0.55,0.03,,,"                   ",,,"                   ",,,,,,
18,"HIP112748","HD216131","* mu. Peg",1876510592179455744,342.5008,24.6016,2.496,0.04,,"2003AJ....126.2502M",,,28.93,0.19,G,0.021,125.503,0.23,125.665,0.266,4961,40,0.8,46.931,0.624,9.276,0.161,1.962,0.056,2.483,0.084,2.85,0.03,-0.03,0.02,,,"                   ",,,"                   ",,,,,,
19,"HIP113357","HD217014","*  51 Peg",2835207319109249920,344.3666,20.7688,0.685,0.011,,"2013ApJ...771...40B",,,64.4,0.08,G,0.009,19.12,0.227,17.031,0.655,5746,72,1.3,1.284,0.049,1.144,0.018,1.005,0.023,1.055,0.025,4.33,0.02,0.18,0.01,,,"                   ",,,"                   ",,,,,,
20,"HIP114622","HD219134"," ",2009481748875806976,348.3207,57.1684,1.106,0.007,,"2012ApJ...757..112B",,,152.86,0.05,G,0.0,21.751,0.585,21.612,0.551,4800,34,0.7,0.289,0.007,0.778,0.005,0.777,0.004,0.779,0.008,4.55,0.01,0.06,0.02,,,"                   ",,,"                   ",,,,,,
21,"HIP114855","HD219449","* psi01 Aqr",2630155547353593216,348.9729,-9.0877,2.22,0.031,,"2018AJ....155...30B",,,22.09,0.13,G,0.016,75.118,4.285,75.458,3.967,4631,69,1.5,48.334,2.604,10.805,0.164,1.004,0.175,0.774,0.15,2.32,0.11,-0.03,0.01,,,"                   ",,,"                   ",,,,,,
22,"HIP114971","HD219615","* gam Psc",2658974606111711488,349.2914,3.2823,2.34,0.04,,"2015A&A...573A.138B",,,24.2,0.3,G,0.018,111.266,0.426,111.221,0.388,4970,43,0.9,59.36,1.486,10.396,0.22,1.35,0.314,0.87,0.099,2.44,0.12,-0.53,0.02,,,"                   ",,,"                   ",,,,,,
23,"HIP115227","HD220009","*   7 Psc",2661005953843811456,350.0858,5.3813,2.045,0.034,,"2015A&A...582A..49H",1,,9.09,0.12,G,0.058,43.967,2.784,44.437,2.856,4227,77,1.8,168.097,11.679,24.188,0.514,0.854,0.021,1.118,0.08,1.66,0.04,-0.66,0.04,,,"                   ",,,"                   ",,,,,,
24,"HIP115620","HD220572"," ",6498723334930624512,351.3311,-56.849,1.092,0.013,,"2018A&A...616A..68G",,,10.6,0.05,G,0.014,20.343,0.468,20.322,0.504,4756,41,0.9,56.532,1.501,11.076,0.142,1.392,0.149,2.356,0.203,2.61,0.06,0.08,0.08,,,"                   ",,,"                   ",,,,,,
25,"HIP115949","HD221170"," ",2869759781250083200,352.37,30.4327,0.596,0.005,,"2020A&A...640A..25K",,,1.84,0.02,G,0.306,4.304,0.009,4.354,0.01,4380,19,0.4,401.953,8.787,34.826,0.478,0.753,0.007,0.704,0.025,1.22,0.02,-2.1,0.04,,,"                   ",,,"                   ",,,,,,
26,"HIP116771","HD222368","* iot Psc",2756363608023588864,354.9877,5.6263,1.082,0.009,,"2012ApJ...746..101B",,,73.24,0.17,G,0.007,56.686,1.842,56.438,1.813,6169,56,0.9,3.289,0.107,1.588,0.014,1.135,0.035,1.113,0.015,4.09,0.02,-0.14,0.02,,,"                   ",,,"                   ",,,,,,
27,"HIP12114 ","HD16160 "," ",19316224572460416,39.0204,6.8868,1.03,0.007,,"2012ApJ...757..112B",,,138.34,0.32,G,0.0,15.756,0.963,15.587,1.006,4583,76,1.6,0.255,0.016,0.801,0.006,0.771,0.004,0.765,0.006,4.52,0.01,-0.13,0.02,,,"                   ",,,"                   ",,,,,,
28,"HIP12486 ","HD16815 ","* iot Eri",4951967794731342464,40.1668,-39.8554,2.248,0.014,,"2018A&A...616A..68G",,,22.29,0.11,G,0.011,83.448,1.278,83.48,1.231,4720,23,0.5,52.517,0.932,10.843,0.086,1.123,0.053,0.905,0.109,2.37,0.06,-0.36,0.04,,,"                   ",,,"                   ",,,,,,
29,"HIP12530 ","HD16765A","*  84 Cet",2498460442625153536,40.3083,-0.6957,0.497,0.007,,"2013ApJ...771...40B",,,44.87,0.04,G,0.01,13.059,0.209,13.04,0.199,6310,51,0.8,2.024,0.031,1.191,0.017,1.176,0.03,1.188,0.03,4.36,0.02,-0.02,0.05,,,"                   ",,,"                   ",,,,,,
30,"HIP12777 ","HD16895 ","* tet Per",438829629114680704,41.0499,49.2284,1.103,0.008,,"2012ApJ...746..101B",,,89.68,0.16,G,0.0,60.566,0.117,60.086,0.104,6206,23,0.4,2.335,0.009,1.322,0.01,1.168,0.004,1.161,0.008,4.26,0.01,0.01,0.01,,,"                   ",,,"                   ",,,,,,
31,"HIP13288 ","HD17824 ","* tau02 Eri",5127513656557144576,42.7597,-21.004,1.391,0.015,,"2018A&A...616A..68G",,,16.79,0.22,G,0.013,39.67,1.834,39.626,1.854,4980,64,1.3,43.936,2.356,8.907,0.151,2.08,0.12,2.457,0.065,2.89,0.03,-0.02,0.04,,,"                   ",,,"                   ",,,,,,
32,"HIP13328 ","HD17709 ","*  17 Per",140457735662620800,42.8785,35.0597,4.056,0.041,,"2003AJ....126.2502M",,,7.78,0.2,G,0.049,113.366,7.864,114.076,8.349,3799,72,1.9,589.08,52.69,56.052,1.548,0.867,0.055,1.1,0.09,0.93,0.06,-0.36,0.05,,,"                   ",,,"                   ",,,,,,
33,"HIP14060 ","HD18784 ","* rho01 Eri",5179627995156977408,45.2918,-7.663,1.036,0.014,,"2018A&A...616A..68G",,,10.42,0.04,G,0.024,16.68,1.01,16.741,1.056,4652,80,1.7,48.193,3.063,10.69,0.15,0.929,0.134,0.76,0.177,2.3,0.12,0.0,0.06,,,"                   ",,,"                   ",,,,,,
34,"HIP14086 ","HD18907 ","* eps For",5071514326764428544,45.4068,-28.0915,0.788,0.016,1,"2015A&A...582A..49H",1,1,31.31,0.06,G,0.009,14.471,0.218,14.467,0.227,5143,56,1.1,4.613,0.075,2.706,0.055,0.884,0.031,0.92,0.036,3.53,0.03,-0.63,0.03,,,"                   ",,,"                   ",,,,,,
35,"HIP14135 ","HD18884 ","* alf Cet",,45.5699,4.0897,12.2,0.04,,"2006A&A...460..855W",1,1,13.09,0.44,H,0.024,960.197,175.637,967.227,175.783,3738,170,4.5,1764.364,341.889,100.206,3.384,1.465,0.109,1.933,0.191,0.66,0.07,-0.24,0.09,,,"                   ",,,"                   ",,,,,,
36,"HIP14632 ","HD19373 ","* iot Per",436648129327098496,47.2667,49.6133,1.246,0.007,,"2012ApJ...746..101B",,,94.54,0.14,G,0.0,64.057,0.096,63.548,0.108,5921,17,0.3,2.222,0.008,1.417,0.008,1.082,0.005,1.103,0.023,4.17,0.01,0.09,0.01,,,"                   ",,,"                   ",,,,,,
37,"HIP14838 ","HD19787 ","* del Ari",60248877811546112,47.9074,19.7267,1.87,0.12,,"1999AJ....118.3032N",,,19.77,0.16,G,0.019,56.948,2.983,56.952,2.745,4703,161,3.4,45.544,2.315,10.17,0.658,0.897,0.212,0.849,0.367,2.36,0.23,0.11,0.03,,,"                   ",,,"                   ",,,,,,
38,"HIP14954 ","HD19994 ","*  94 Cet",3265335443260522112,48.1935,-1.1961,0.761,0.01,,"2016A&A...586A..94L",,,43.7,0.13,G,0.01,23.673,0.769,23.56,0.712,5912,59,1.0,3.856,0.119,1.872,0.025,1.26,0.047,1.277,0.093,4.0,0.04,0.2,0.01,,,"                   ",,,"                   ",,,,,,
39,"HIP15457 ","HD20630 ","* kap01 Cet",3269362645115584640,49.8404,3.3702,0.936,0.024,,"2012ApJ...746..101B",,,107.8,0.18,G,0.0,32.877,1.103,32.684,1.035,5786,87,1.5,0.879,0.028,0.934,0.024,0.999,0.03,1.021,0.021,4.5,0.04,0.04,0.01,,,"                   ",,,"                   ",,,,,,
40,"HIP15776 ","HD21019 "," ",5168359139139252352,50.8238,-7.7941,0.606,0.015,,"2013ApJ...771...40B",,,26.82,0.09,G,0.013,9.342,0.082,9.353,0.077,5259,66,1.3,4.064,0.043,2.429,0.061,1.022,0.024,1.327,0.346,3.73,0.12,-0.45,0.02,,,"                   ",,,"                   ",,,,,,
41,"HIP16537 ","HD22049 ","* eps Eri",5164707970261890560,53.2327,-9.4583,2.144,0.011,,"2020MNRAS.493.2377R",1,1,310.58,0.14,G,0.0,101.158,2.218,100.473,2.06,5062,29,0.6,0.326,0.007,0.742,0.004,0.776,0.013,0.819,0.011,4.6,0.01,-0.08,0.01,,,"                   ",,,"                   ",,,,,,
42,"HIP16852 ","HD22484 ","*  10 Tau",3263836568394170880,54.2173,0.3996,1.081,0.014,,"2012ApJ...746..101B",,,71.84,0.15,G,0.008,50.533,1.515,50.419,1.496,6000,59,1.0,3.054,0.091,1.618,0.021,1.094,0.014,1.115,0.066,4.06,0.03,-0.08,0.01,,,"                   ",,,"                   ",,,,,,
43,"HIP1686  ","HD1671  ","* rho And",378821548641870336,5.2803,37.9686,0.6,0.006,,"2016A&A...586A..94L",,,19.95,0.07,G,0.024,23.799,0.116,23.776,0.111,6674,34,0.5,18.672,0.157,3.234,0.034,1.812,0.024,1.922,0.166,3.69,0.04,-0.09,0.03,,,"                   ",,,"                   ",,,,,,
44,"HIP17086 ","HD22798 "," ",3250477261599098752,54.9098,-3.393,0.792,0.021,,"2020A&A...639A..67N",,,7.81,0.04,G,0.042,9.701,0.523,9.778,0.529,4652,88,1.9,50.104,2.757,10.903,0.294,1.236,0.217,0.966,0.518,2.4,0.25,0.24,0.05,,,"                   ",,,"                   ",,,,,,
45,"HIP171   ","HD224930","*  85 Peg",2853900872207888768,0.5431,27.0818,0.716,0.007,,"2020A&A...640A..25K",,,81.18,0.45,G,0.0,15.143,0.173,15.005,0.155,5445,30,0.6,0.712,0.011,0.948,0.011,0.774,0.004,0.827,0.047,4.39,0.03,-0.79,0.03,,,"                   ",,,"                   ",,,,,,
46,"HIP17147 ","HD22879 "," ",3250489115709122560,55.0919,-3.217,0.382,0.011,1,"2015A&A...582A..49H",1,1,38.36,0.03,G,0.011,6.136,0.006,6.139,0.006,5962,86,1.4,1.304,0.002,1.071,0.031,0.789,0.008,0.81,0.011,4.28,0.04,-0.84,0.01,,,"                   ",,,"                   ",,,,,,
47,"HIP17378 ","HD23249 ","* del Eri",5164120762333028736,55.8121,-9.7634,2.411,0.009,,"2020MNRAS.493.2377R",1,1,110.03,0.19,G,0.0,117.112,3.241,116.588,3.429,4954,38,0.8,3.01,0.089,2.356,0.01,1.055,0.032,1.48,0.344,3.79,0.1,0.09,0.02,43.8,0.1,"2010MNRAS.405.1907B",700.0,35.0,"2003Ap&SS.284...21B",3.75,0.05,1.97,0.048,1.261,0.017
48,"HIP17595 ","HD23526 "," ",3276860524145383040,56.539,6.8035,0.915,0.021,,"2018A&A...616A..68G",,,8.73,0.04,G,0.046,14.323,0.732,14.341,0.723,4763,81,1.7,58.816,3.013,11.269,0.264,1.028,0.217,0.974,0.269,2.33,0.15,-0.15,0.08,,,"                   ",,,"                   ",,,,,,
49,"HIP17738 ","HD23940 ","* rho For",4887842970929434880,56.9835,-30.1679,1.093,0.021,,"2018A&A...616A..68G",,,11.53,0.05,G,0.015,21.399,0.383,21.385,0.431,4815,52,1.1,50.28,1.102,10.192,0.201,1.336,0.125,0.79,0.06,2.43,0.06,-0.34,0.02,,,"                   ",,,"                   ",,,,,,
50,"HIP18859 ","HD25457 "," ",3256786534197166208,60.6531,-0.2689,0.582,0.016,,"2018ApJ...858...71S",,,53.46,0.07,G,0.01,17.676,0.341,17.712,0.33,6295,91,1.5,1.937,0.036,1.17,0.032,1.209,0.023,1.218,0.021,4.39,0.04,0.1,0.03,,,"                   ",,,"                   ",,,,,,
51,"HIP19849 ","        ","* omi02 Eri",3195919528989223040,63.818,-7.6529,1.504,0.006,,"2012ApJ...757..112B",,,199.61,0.12,G,0.0,54.498,0.756,54.259,0.759,5181,21,0.4,0.426,0.006,0.81,0.003,0.769,0.002,0.769,0.012,4.51,0.01,-0.29,0.01,,,"                   ",,,"                   ",,,,,,
52,"HIP2021  ","HD2151  ","* bet Hyi",4683897617110115200,6.4378,-77.2542,2.257,0.019,,"2007MNRAS.380L..80N",1,1,133.72,0.27,G,0.0,209.473,0.391,207.852,0.396,5917,25,0.4,3.633,0.016,1.815,0.016,1.111,0.008,1.151,0.114,3.97,0.04,-0.12,0.02,57.6,0.6,"2010MNRAS.405.1907B",1000.0,50.0,"2008ApJ...682.1370K",3.94,0.05,1.766,0.062,1.086,0.036
53,"HIP21421 ","HD29139 ","* alf Tau",,68.9802,16.5093,20.58,0.03,,"2005A&A...433..305R",1,1,48.94,0.77,H,0.01,3290.84,250.737,3333.08,271.244,3921,80,2.0,434.967,37.951,45.212,0.714,0.955,0.077,1.27,0.103,1.17,0.05,-0.2,0.03,,,"                   ",,,"                   ",,,,,,
54,"HIP22449 ","HD30652 ","* pi.03 Ori",3288921720025503360,72.46,6.9613,1.526,0.004,,"2012ApJ...746..101B",,,124.62,0.22,G,0.0,141.072,3.029,139.928,2.943,6518,35,0.5,2.816,0.06,1.317,0.004,1.28,0.017,1.288,0.019,4.31,0.01,0.03,0.03,,,"                   ",,,"                   ",,,,,,
55,"HIP22453 ","HD30504 ","*   1 Aur",198558953732674816,72.4777,37.4883,2.803,0.013,,"2009MNRAS.394.1925V",,,7.13,0.13,G,0.081,72.529,1.404,73.691,1.299,4097,20,0.5,453.079,18.351,42.268,0.795,1.043,0.083,1.783,0.084,1.32,0.05,-0.34,0.03,,,"                   ",,,"                   ",,,,,,
56,"HIP22479 ","HD30814 ","*  60 Eri",2981103853463479040,72.5484,-16.2172,1.31,0.01,,"2018A&A...616A..68G",,,13.64,0.08,G,0.017,32.973,0.562,32.973,0.532,4901,27,0.6,55.395,1.105,10.326,0.099,1.741,0.083,2.45,0.16,2.73,0.04,-0.02,0.06,,,"                   ",,,"                   ",,,,,,
57,"HIP2413  ","HD2665  "," ",421805237748755968,7.6894,57.0649,0.395,0.004,,"2020A&A...640A..25K",,,3.75,0.02,G,0.156,3.164,0.003,3.121,0.003,4951,25,0.5,69.377,0.744,11.325,0.13,0.787,0.012,1.202,0.068,2.32,0.03,-1.97,0.05,,,"                   ",,,"                   ",,,,,,
58,"HIP24813 ","HD34411 ","* lam Aur",188771135583573504,79.7853,40.0991,0.981,0.015,,"2012ApJ...746..101B",,,79.6,0.1,G,0.007,36.921,0.18,36.836,0.185,5823,45,0.8,1.817,0.01,1.325,0.02,1.016,0.011,1.037,0.012,4.2,0.02,0.06,0.01,,,"                   ",,,"                   ",,,,,,
59,"HIP25993 ","HD36848 "," ",4808960875719316608,83.2142,-38.5134,1.386,0.098,,"2012A&A...539A..58C",,,18.78,0.05,G,0.012,27.174,0.609,27.091,0.692,4537,163,3.6,24.009,0.627,7.935,0.561,1.108,0.109,1.26,0.267,2.71,0.13,0.19,0.12,,,"                   ",,,"                   ",,,,,,
60,"HIP26019 ","HD36874 "," ",4822128906148720128,83.2808,-35.1394,1.118,0.011,,"2018A&A...616A..68G",,,11.21,0.04,G,0.017,18.883,0.378,18.89,0.365,4616,32,0.7,46.984,0.969,10.723,0.112,0.886,0.115,1.762,0.336,2.47,0.1,0.0,0.1,,,"                   ",,,"                   ",,,,,,
61,"HIP27435 ","HD38858 "," ",3023711269067191296,87.1456,-4.0946,0.572,0.009,,"2013ApJ...771...40B",,,65.74,0.03,G,0.008,11.557,0.11,11.542,0.111,5705,47,0.8,0.835,0.008,0.935,0.015,0.855,0.015,0.878,0.018,4.43,0.02,-0.22,0.01,,,"                   ",,,"                   ",,,,,,
62,"HIP27530 ","HD39523 ","* gam Pic",4767368897757788288,87.4569,-56.1667,1.939,0.016,,"2018A&A...616A..68G",,,17.58,0.15,G,0.017,55.239,3.313,55.236,3.75,4583,80,1.7,55.863,3.91,11.859,0.141,0.934,0.191,1.456,0.302,2.36,0.13,0.15,0.1,4.32,0.02,"2022AJ....164..135H",38.2,0.5,"2022AJ....164..135H",2.47,0.02,10.556,0.135,1.705,0.063
63,"HIP27621 ","HD39640 "," ",4792305954618472960,87.7218,-52.1089,1.251,0.017,,"2018A&A...616A..68G",,,12.17,0.05,G,0.02,28.9,0.495,28.862,0.559,4851,41,0.8,60.91,1.282,11.052,0.157,1.374,0.108,2.26,0.159,2.6,0.05,-0.11,0.04,5.21,0.03,"2022AJ....164..135H",50.8,0.9,"2022AJ....164..135H",2.61,0.02,9.938,0.124,2.008,0.089
64,"HIP27913 ","HD39587 ","* chi01 Ori",3399063235755057792,88.5958,20.2762,1.051,0.009,,"2012ApJ...746..101B",,,114.95,0.53,G,0.0,44.404,1.726,44.053,1.727,5883,63,1.1,1.042,0.042,0.983,0.01,1.012,0.027,1.045,0.02,4.47,0.02,-0.03,0.01,,,"                   ",,,"                   ",,,,,,
65,"HIP28011 ","HD39910 "," ",3022721124487294848,88.8757,-4.6165,1.09,0.008,,"2018A&A...616A..68G",,,10.47,0.04,G,0.024,17.097,0.379,17.176,0.423,4565,33,0.7,48.975,1.262,11.193,0.093,1.003,0.113,2.125,0.056,2.5,0.05,0.26,0.04,,,"                   ",,,"                   ",,,,,,
66,"HIP28139 ","HD40020 "," ",3342942066329410688,89.206,11.5211,1.012,0.023,,"2018A&A...616A..68G",,,9.61,0.05,G,0.029,16.13,0.407,16.228,0.354,4671,59,1.3,54.923,1.327,11.322,0.264,1.272,0.153,2.387,0.397,2.57,0.09,0.13,0.04,,,"                   ",,,"                   ",,,,,,
67,"HIP29575 ","HD43023 "," ",3021524580959406592,93.476,-3.7414,0.842,0.014,,"2020A&A...639A..67N",,,9.83,0.08,G,0.025,15.254,0.121,15.269,0.135,5043,43,0.9,49.389,0.915,9.209,0.17,2.197,0.122,3.602,0.603,2.96,0.08,0.0,0.04,,,"                   ",,,"                   ",,,,,,
68,"HIP3031  ","HD3546  ","* eps And",2858181236614036864,9.6389,29.3118,1.77,0.08,,"1999AJ....118.3032N",,,19.25,0.12,G,0.021,60.709,0.195,60.557,0.2,4909,111,2.3,51.079,0.659,9.886,0.451,1.215,0.094,0.781,0.17,2.44,0.11,-0.62,0.03,,,"                   ",,,"                   ",,,,,,
69,"HIP30565 ","HD46116 ","* pi.02 Dor",5278762854038923008,96.3693,-69.6903,1.145,0.031,,"2018A&A...616A..68G",,,11.76,0.06,G,0.035,24.614,0.366,24.75,0.309,4880,68,1.4,55.937,0.901,10.468,0.288,0.961,0.109,1.916,0.598,2.53,0.15,-0.32,0.04,4.07,0.04,"2022AJ....164..135H",31.7,0.3,"2022AJ....164..135H",2.4,0.02,10.196,0.213,1.041,0.089
70,"HIP3093  ","HD3651  ","*  54 Psc",2802397960855105920,9.8409,21.2505,0.722,0.007,,"2016A&A...586A..94L",,,90.02,0.05,G,0.0,13.759,0.163,13.666,0.172,5297,31,0.6,0.527,0.007,0.862,0.008,0.864,0.013,0.936,0.016,4.52,0.02,0.14,0.02,,,"                   ",,,"                   ",,,,,,
71,"HIP3137  ","HD3750  "," ",4979682840735231616,9.9665,-44.7963,1.003,0.02,,"2018A&A...616A..68G",,,10.36,0.03,G,0.014,15.143,0.303,15.124,0.303,4610,51,1.1,44.043,0.918,10.409,0.21,1.271,0.154,0.761,0.208,2.4,0.13,0.03,0.09,,,"                   ",,,"                   ",,,,,,
72,"HIP32362 ","HD48737 ","* ksi Gem",3352485999058854912,101.3224,12.8956,1.401,0.009,,"2012ApJ...746..101B",,,54.19,0.24,G,0.009,119.752,0.981,119.369,0.963,6537,25,0.4,12.706,0.152,2.78,0.022,1.752,0.046,1.687,0.096,3.79,0.03,0.14,0.1,,,"                   ",,,"                   ",,,,,,
73,"HIP32851 ","HD49933A"," ",3113219383954556416,102.7076,-0.5409,0.445,0.012,,"2011A&A...534L...3B",1,1,33.53,0.04,G,0.012,12.748,0.026,12.725,0.025,6628,89,1.3,3.538,0.011,1.427,0.039,1.16,0.023,1.128,0.02,4.19,0.04,-0.39,0.03,86.1,0.9,"2010MNRAS.405.1907B",1657.0,82.9,"2010A&A...509A..77K",4.19,0.06,1.386,0.059,1.18,0.099
74,"HIP3456  ","HD4211  ","* lam02 Scl",5000702410680381824,11.0504,-38.4217,1.1,0.011,,"2018A&A...616A..68G",,,9.85,0.05,G,0.016,17.573,0.388,17.608,0.41,4572,35,0.8,56.724,1.441,12.007,0.135,0.922,0.161,1.459,0.19,2.34,0.1,0.01,0.08,,,"                   ",,,"                   ",,,,,,
75,"HIP36444 ","HD60060 "," ",5492531416535100672,112.4988,-52.6512,0.948,0.01,,"2018A&A...616A..68G",,,9.24,0.02,G,0.044,15.944,0.271,16.068,0.25,4814,32,0.7,58.824,0.95,11.031,0.119,1.355,0.111,2.202,0.093,2.59,0.04,-0.08,0.05,,,"                   ",,,"                   ",,,,,,
76,"HIP36732 ","HD60341 "," ",5716535848180090624,113.3315,-19.4125,1.19,0.022,,"2018A&A...616A..68G",,,10.98,0.05,G,0.022,20.381,0.557,20.434,0.561,4563,53,1.2,52.978,1.532,11.652,0.222,1.287,0.132,1.214,0.175,2.4,0.08,0.01,0.04,,,"                   ",,,"                   ",,,,,,
77,"HIP37279 ","HD61421 ","Procyon",,114.8255,5.225,5.406,0.006,,"2021AJ....162..198B",1,1,284.56,1.26,H,0.0,1844.0,3.455,1826.03,3.347,6582,5,0.1,7.049,0.064,2.043,0.009,1.491,0.008,1.439,0.05,3.98,0.02,-0.02,0.02,55.2,0.5,"2010MNRAS.405.1907B",1000.0,50.0,"2008ApJ...687.1180A",3.97,0.05,2.028,0.068,1.423,0.032
