#atmos ID, Teff [K], log(g) [cgs], [Fe/H], [alpha/Fe], mass, Vturb [km/s], A(X), pointer
'p2500_g+3.5_m0.0_t01_st_z+1.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	1.0000	0.0000	0.00	1.00	8.5000      13645601 
'p2500_g+3.5_m0.0_t01_st_z-0.25_a+0.10_c+0.00_n+0.00_o+0.10_r+0.00_s+0.00'	2500.0000	3.5000	-0.2500	0.1000	0.00	1.00	7.2500      13918493 
'p2500_g+3.5_m0.0_t01_st_z-0.50_a+0.20_c+0.00_n+0.00_o+0.20_r+0.00_s+0.00'	2500.0000	3.5000	-0.5000	0.2000	0.00	1.00	7.0000      14191385 
'p2500_g+3.5_m0.0_t01_st_z-0.75_a+0.30_c+0.00_n+0.00_o+0.30_r+0.00_s+0.00'	2500.0000	3.5000	-0.7500	0.3000	0.00	1.00	6.7500      14464277 
'p2500_g+3.5_m0.0_t01_st_z-1.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.0000	0.4000	0.00	1.00	6.5000      14737169 
'p2500_g+3.5_m0.0_t01_st_z-1.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-1.5000	0.4000	0.00	1.00	6.0000      15010061 
'p2500_g+3.5_m0.0_t01_st_z-2.00_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-2.0000	0.4000	0.00	1.00	5.5000      15282953 
'p2500_g+3.5_m0.0_t01_st_z-2.50_a+0.40_c+0.00_n+0.00_o+0.40_r+0.00_s+0.00'	2500.0000	3.5000	-2.5000	0.4000	0.00	1.00	5.0000      15555845 
'p2500_g+3.5_m0.0_t02_st_z+0.00_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.0000	0.0000	0.00	2.00	7.5000      15828737 
'p2500_g+3.5_m0.0_t02_st_z+0.25_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.2500	0.0000	0.00	2.00	7.7500      16101629 
'p2500_g+3.5_m0.0_t02_st_z+0.50_a+0.00_c+0.00_n+0.00_o+0.00_r+0.00_s+0.00'	2500.0000	3.5000	0.5000	0.0000	0.00	2.00	8.0000      16374521 
